CATÁLOGO DE 2.000 TÉCNICAS Y METODOLOGÍAS
PARTE 2 — ENTRADAS 701 A 1350
Formato: TIPO, SECTOR, ENFOQUE > NÚMERO > NOMBRE > DESCRIPCIÓN
Nota: las entradas marcadas como APLICACIÓN METODOLÓGICA son adaptaciones sectoriales explícitas, no métodos canónicos nuevos.

TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 701 > Espectroscopía de absorción > Mide atenuación de radiación para identificar transiciones.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 702 > Espectroscopía de emisión > Analiza radiación emitida por especies excitadas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 703 > Espectroscopía UV-Visible > Estudia absorciones electrónicas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 704 > Espectroscopía infrarroja > Identifica vibraciones moleculares.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 705 > FTIR > Obtiene espectros infrarrojos mediante transformada de Fourier.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 706 > Espectroscopía Raman > Mide dispersión inelástica vibracional.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 707 > Raman confocal > Combina resolución espacial y análisis Raman.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 708 > Espectroscopía de fluorescencia > Mide emisión tras excitación.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 709 > Fluorescencia resuelta en tiempo > Mide vidas medias de emisión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 710 > FRET > Estima proximidad molecular por transferencia de energía.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 711 > XPS > Determina composición y estados químicos superficiales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 712 > UPS > Estudia niveles electrónicos de valencia.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 713 > AES > Analiza composición superficial mediante electrones Auger.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 714 > EELS > Mide pérdidas de energía de electrones.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 715 > NMR > Determina estructura y dinámica molecular.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 716 > NMR de estado sólido > Caracteriza sólidos con secuencias especializadas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 717 > EPR > Detecta especies con electrones desapareados.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 718 > Mössbauer Spectroscopy > Estudia interacciones hiperfinas nucleares.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 719 > Espectrometría de masas > Separa iones por masa-carga.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 720 > MALDI-TOF > Analiza moléculas grandes por tiempo de vuelo.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 721 > ICP-MS > Detecta trazas elementales mediante plasma.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 722 > SIMS > Analiza superficies con iones secundarios.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 723 > Difracción de rayos X > Determina estructura cristalina.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 724 > XRD de polvo > Identifica fases policristalinas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 725 > Difracción de monocristal > Resuelve estructuras atómicas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 726 > SAXS > Estudia estructuras nanométricas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 727 > WAXS > Analiza orden a escala corta.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 728 > Reflectometría de rayos X > Mide espesor, densidad y rugosidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 729 > Tomografía de rayos X > Reconstruye interiores tridimensionales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 730 > Micro-CT > Realiza tomografía con resolución micrométrica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 731 > Difracción de neutrones > Determina estructura y magnetismo.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 732 > Reflectometría de neutrones > Caracteriza interfaces y capas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 733 > SANS > Estudia nanoestructuras con neutrones.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 734 > Difracción de electrones > Determina orden cristalino.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 735 > LEED > Caracteriza orden superficial.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 736 > RHEED > Monitoriza crecimiento epitaxial.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 737 > Microscopía de campo claro > Forma imágenes por transmisión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 738 > Contraste de fases > Convierte cambios de fase en contraste.
