CATÁLOGO DE 2.000 TÉCNICAS Y METODOLOGÍAS
PARTE 3 — ENTRADAS 1351 A 2000
Formato: TIPO, SECTOR, ENFOQUE > NÚMERO > NOMBRE > DESCRIPCIÓN
Nota: las entradas marcadas como APLICACIÓN METODOLÓGICA son adaptaciones sectoriales explícitas, no métodos canónicos nuevos.

MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1351 > Demostración directa > Deriva la conclusión desde axiomas y definiciones.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1352 > Demostración por contraposición > Prueba una implicación mediante su contraria.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1353 > Demostración por contradicción > Supone falsa la conclusión y deriva imposibilidad.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1354 > Inducción matemática > Prueba un caso base y su propagación.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1355 > Inducción fuerte > Usa todos los casos anteriores.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1356 > Descenso infinito > Produce soluciones cada vez menores para descartar existencia.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1357 > Prueba por casos > Divide el dominio exhaustivamente.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1358 > Prueba constructiva > Proporciona un objeto o procedimiento explícito.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1359 > Prueba probabilística > Demuestra existencia mediante probabilidad positiva.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1360 > Método diagonal > Construye un objeto que difiere de todos los listados.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1361 > Principio del palomar > Fuerza colisiones por conteo.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1362 > Invariante > Usa una propiedad conservada.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1363 > Monovariante > Usa una cantidad que cambia en una dirección.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1364 > Principio extremal > Selecciona un objeto extremo.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1365 > Double Counting > Cuenta el mismo conjunto de dos maneras.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1366 > Prueba biyectiva > Demuestra igualdad mediante correspondencia uno a uno.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1367 > Generating Functions > Codifica secuencias como series.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1368 > Inclusion-Exclusion > Corrige solapamientos en conteos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1369 > Burnside Lemma > Cuenta órbitas mediante puntos fijos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1370 > Pólya Enumeration > Cuenta configuraciones bajo simetría.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1371 > Probabilistic Method > Prueba existencia con objetos aleatorios.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1372 > First Moment Method > Usa esperanza para demostrar existencia.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1373 > Second Moment Method > Usa varianza para controlar concentración.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1374 > Lovász Local Lemma > Evita eventos raros con dependencia limitada.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1375 > Coupling > Compara procesos en un mismo espacio.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1376 > Markov Inequality > Acota colas usando esperanza.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1377 > Chebyshev Inequality > Acota desviaciones usando varianza.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1378 > Chernoff Bound > Obtiene cotas exponenciales.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1379 > Hoeffding Inequality > Acota sumas de variables acotadas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1380 > Jensen Inequality > Relaciona convexidad y esperanza.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1381 > Cauchy-Schwarz > Acota productos internos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1382 > Hölder Inequality > Generaliza Cauchy-Schwarz.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1383 > Minkowski Inequality > Establece desigualdad triangular en Lp.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1384 > Young Inequality > Acota productos por potencias.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1385 > AM-GM > Compara medias aritmética y geométrica.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1386 > Rearrangement Inequality > Ordena términos para extremar productos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1387 > Lagrange Multipliers > Optimiza con restricciones de igualdad.
