catalog_schema_version,catalog_version,transformation_rules_version,blackforge_id,display_order_v2,record_hash,source_fingerprint,review_status,manual_review_reason,activation_tier,default_enabled,selection_weight,mode,source_catalog,source_kind,source_number,source_ref,source_file,source_family,title,description,source_text,operational_prompt,operationalization_status,stage_primary,stage_secondary,stage_confidence,combination_role,recommended_pair_roles,functional_category_primary,functional_category_secondary,taxonomy_confidence,domain_primary,domain_secondary,cybersecurity_fit,developer_tools_fit,profile_offensive_research,profile_defensive_engineering,profile_devtools,profile_hybrid,causal_axis_primary,causal_axis_secondary,causal_axis_confidence,evidence_level,verification_method,input_contract,output_artifact,use_when,avoid_when,prerequisites,execution_scope_v2,safety_class,risk_level,requires_sandbox,requires_explicit_authorization,external_target_prohibited,human_impact,compliance_impact,quota_group,near_duplicate_status,canonical_item_id,semantic_cluster_id,score_profile_version,source_integrity_v2,operational_clarity_v2,blackforge_fit_v2,causal_leverage_v2,validation_readiness_v2,diversity_contribution_v2,quality_score_v2,score_confidence,debate_rounds_applied,change_reason,tier_relaxation_reason,pipeline_stage,functional_category,domain_scope,execution_scope,tier,activation_weight,audit_score,audit_origin,audit_change,audit_note
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-S800-0670,1,2c2e98f49db03ae33eff6d09c016638078c8ab30eede4414e51ab917ca40b1b0,c538a4bf802fd498f9833e3deac1a0a263e63061110badc08981653306cf16ad,approved_auto,,essential,True,10,BLACKFORGE,S800,space_escape,670,S800-0670,800_tecnicas_salto_espacio_conocido.txt,Factores humanos y organización,Fatiga de recuperación,prueba varios fallos consecutivos sin reinicio humano.,Fatiga de recuperación — prueba varios fallos consecutivos sin reinicio humano.,"Explora fuera del espacio conocido mediante: Fatiga de recuperación — prueba varios fallos consecutivos sin reinicio humano.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,EVALUAR,,0.55,evaluator,scope_guard;mapper,human_factors,failure_resilience,1.0,cybersecurity,,0,0,0,10,8,16,human_behavior,,1.0,testable,test,"artifact_or_plan, acceptance_criteria, evidence",evaluation_report,"Cuando hay que decidir con evidencia, reproducibilidad y criterio de abandono.",No cambiar métricas después de conocer el resultado.,acceptance_criteria;logging;reproducible_environment,local_analysis,S1_DEFENSIVE,low_medium,False,False,False,True,False,human_factors|human_behavior,unique,BF-CYB-S800-0670,,BF-Q2.0,15,13,0,20,10,10,68,medium,1-20,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,,DIVERGIR,experimentation_benchmarks,developer_tools,defensive_design,core,5,78,original_csv,retained,Coincidencia canónica verificada.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-L600-1507,2,0c937e8c97cfa4f12f9a5d97a1deefd0022e217124849d7d6890f5e7994eef53,33f1f0ceeaaa9a5c9646c737d18b46217a1cc7530b5cab3249b7ba79fc02decf,approved_auto,,essential,True,10,BLACKFORGE,L600,lens,1507,L600-1507,lentes_1101-1700.txt,Lentes 1501-1550,Lente de dependencia transitiva,buscar componentes indirectos que entran sin ser elegidos explícitamente.,Lente de dependencia transitiva: buscar componentes indirectos que entran sin ser elegidos explícitamente.,"Examina el reto desde: Lente de dependencia transitiva: buscar componentes indirectos que entran sin ser elegidos explícitamente.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,DESCOMPONER,CARTOGRAFIAR,1.0,decomposer,frame_breaker;idea_generator,supply_chain_build,,1.0,cybersecurity,,30,8,16,46,35,43,resource_dependency,,1.0,conceptual,none,"problem_map, actors, assets, states, dependencies",primitive_map,"Cuando el problema es demasiado agregado y deben aislarse primitivas, estados o fronteras.",No fragmentar hasta perder relaciones causales o responsabilidades.,normalized_challenge;source_traceability,conceptual_only,S0_CONCEPTUAL,low,False,False,False,False,False,supply_chain_build|resource_dependency,unique,BF-CYB-L600-1507,,BF-Q2.0,15,13,6,18,5,10,67,high,1-20,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,,DESCOMPONER,supply_chain_build,developer_tools,conceptual_only,core,5,61,gap_audit_addition,added,Añadido al detectar un hueco de cobertura frente al catálogo completo.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-S800-0630,3,0fa198c93ed2912587f2a8147364c2b20b574570d6696133fa9822bb2f9ab385,9696bc874fd82e791f8dcd9dc93e344cd0d0b3500d6fe427ec2fdc9ff396267b,approved_auto,,essential,True,10,BLACKFORGE,S800,space_escape,630,S800-0630,800_tecnicas_salto_espacio_conocido.txt,Factores humanos y organización,Organización de sucesión,prueba el cambio de responsables como fallo normal.,Organización de sucesión — prueba el cambio de responsables como fallo normal.,"Explora fuera del espacio conocido mediante: Organización de sucesión — prueba el cambio de responsables como fallo normal.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,EVALUAR,,0.55,evaluator,scope_guard;mapper,human_factors,failure_resilience,0.8,cybersecurity,,0,0,0,10,8,16,human_behavior,evidence_required,0.75,testable,test,"artifact_or_plan, acceptance_criteria, evidence",evaluation_report,"Cuando hay que decidir con evidencia, reproducibilidad y criterio de abandono.",No cambiar métricas después de conocer el resultado.,acceptance_criteria;logging;reproducible_environment,local_analysis,S1_DEFENSIVE,low_medium,False,False,False,False,False,human_factors|human_behavior,unique,BF-CYB-S800-0630,,BF-Q2.0,15,13,0,19,10,10,67,medium,1-20,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,,DIVERGIR,experimentation_benchmarks,developer_tools,defensive_design,extended,2,74,original_csv,retained,Coincidencia canónica verificada.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-S800-0603,4,09205762cb26b6a94bf627dae94cff0877bdb4cee535476ab864f6c69019d8cb,2349d32440e0455f4015639932b8ab127383ac6006551908ad38a2a0890d4959,approved_auto,,essential,True,10,BLACKFORGE,S800,space_escape,603,S800-0603,800_tecnicas_salto_espacio_conocido.txt,Factores humanos y organización,Operador adversarial benigno,cuestiona todo sin intentar dañar.,Operador adversarial benigno — cuestiona todo sin intentar dañar.,"Explora fuera del espacio conocido mediante: Operador adversarial benigno — cuestiona todo sin intentar dañar.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,ATACAR,,1.0,adversarial_challenger,evolver;evaluator,human_factors,adversarial_threat,1.0,cybersecurity,,8,0,19,4,0,18,human_behavior,,1.0,adversarial,none,"idea_candidate, threat_model, safety_limits",adversarial_findings,"Cuando una idea debe resistir abuso, adaptación adversarial o casos límite autorizados.","No ejecutar contra terceros ni fuera de un entorno propio, autorizado o simulado.",normalized_challenge;source_traceability,defensive_design,S1_DEFENSIVE,medium,False,False,False,True,False,human_factors|human_behavior,unique,BF-CYB-S800-0603,,BF-Q2.0,15,9,2,18,12,10,66,high,1-20,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,,ATACAR,adversarial_threat,cybersecurity,defensive_design,extended,2,66,original_csv,retained,Coincidencia canónica verificada.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-L600-1506,5,df9eb12365aebac9ff6a9ea18201e4498856d2d6491028b7e3615b93882008d0,a9a89189515f8e69410584238cba83994f549c20f48fb2c95eabba5d8e23e034,approved_auto,,essential,True,10,BLACKFORGE,L600,lens,1506,L600-1506,lentes_1101-1700.txt,Lentes 1501-1550,Lente de cadena de suministro,"analizar riesgos introducidos por dependencias, proveedores, actualizaciones y herramientas de construcción.","Lente de cadena de suministro: analizar riesgos introducidos por dependencias, proveedores, actualizaciones y herramientas de construcción.","Examina el reto desde: Lente de cadena de suministro: analizar riesgos introducidos por dependencias, proveedores, actualizaciones y herramientas de construcción.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,CARTOGRAFIAR,,1.0,mapper,decomposer;frame_breaker,supply_chain_build,,1.0,cybersecurity,,30,4,16,46,33,42,resource_dependency,,1.0,conceptual,none,"normalized_challenge, known_solutions, context",problem_map,"Cuando hace falta describir el espacio conocido, actores, dependencias o puntos ciegos.",No confundir perspectiva con evidencia de eficacia.,normalized_challenge;source_traceability,conceptual_only,S0_CONCEPTUAL,low,False,False,False,False,False,supply_chain_build|resource_dependency,unique,BF-CYB-L600-1506,,BF-Q2.0,15,15,6,15,5,10,66,high,1-20,stage_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,,DESCOMPONER,supply_chain_build,hybrid,conceptual_only,core,5,71,original_csv,retained,Coincidencia canónica verificada.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-M800-0548,6,3d15512d4cc438eef54c7cacf68d4d9a1254d266df57a4178e86efdee75f4aeb,ec7b695c2848dcb5384ca49ec748ac18ddfa187912d424e8b6c778c026908c47,approved_auto,,essential,True,10,BLACKFORGE,M800,method,548,M800-0548,800_metodos_ideas_disruptivas.txt,IA y automatización,Aprendizaje humano en el bucle,Usar correcciones reales para mejorar políticas.,Aprendizaje humano en el bucle — Usar correcciones reales para mejorar políticas.,"Ejecuta la operación: Aprendizaje humano en el bucle — Usar correcciones reales para mejorar políticas.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,EVOLUCIONAR,,1.0,evolver,experiment_designer;evaluator,human_factors,,1.0,developer_tools,,4,37,2,2,24,19,human_behavior,,1.0,none,none,"surviving_candidate, adversarial_findings, mutation_budget",mutated_candidate,Cuando una idea sobreviviente necesita mutaciones controladas.,No conservar variantes que repitan la misma firma causal.,normalized_challenge;source_traceability,defensive_design,S1_DEFENSIVE,medium,False,False,False,True,False,human_factors|human_behavior,unique,BF-CYB-M800-0548,,BF-Q2.0,15,13,7,15,0,10,60,high,1-20,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,,EVOLUCIONAR,agents_ai_devtools,developer_tools,defensive_design,core,5,66,gap_audit_addition,added,Añadido al detectar un hueco de cobertura frente al catálogo completo.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-M800-0305,7,f562b282e74b68921566faeaea70e259a8003e1c0f6a5f2e319eba8bf228ba0a,f9966ecd223a525a7730b789d9ff826c75547477b2db1d5729663c49a15dce93,approved_auto,,essential,True,10,BLACKFORGE,M800,method,305,M800-0305,800_metodos_ideas_disruptivas.txt,Fracaso y resiliencia,Modo aislado,Permitir operación mínima sin dependencias externas.,Modo aislado — Permitir operación mínima sin dependencias externas.,"Ejecuta la operación: Modo aislado — Permitir operación mínima sin dependencias externas.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,DESCOMPONER,,0.55,decomposer,frame_breaker;idea_generator,supply_chain_build,failure_resilience,0.55,developer_tools,,0,4,0,30,33,31,failure_default,resource_dependency,1.0,none,none,"problem_map, actors, assets, states, dependencies",primitive_map,"Cuando el problema es demasiado agregado y deben aislarse primitivas, estados o fronteras.",No fragmentar hasta perder relaciones causales o responsabilidades.,normalized_challenge;source_traceability,defensive_design,S1_DEFENSIVE,low_medium,False,False,False,False,False,supply_chain_build|failure_default,unique,BF-CYB-M800-0305,,BF-Q2.0,15,15,1,18,0,10,59,medium,1-20,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,,DESCOMPONER,failure_resilience,developer_tools,defensive_design,core,5,70,gap_audit_addition,added,Añadido al detectar un hueco de cobertura frente al catálogo completo.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-M800-0503,8,84f12ab0203808be098d98737c31a897b39dccef999ee2fb868afe09b7df5ff4,44d493234ea026e9796d13ad6f9025f00328e6d0915fea9b951ea85634170bd5,approved_auto,,essential,True,10,BLACKFORGE,M800,method,503,M800-0503,800_metodos_ideas_disruptivas.txt,Regulación y políticas,Licencia progresiva,Ampliar permisos según evidencia de cumplimiento.,Licencia progresiva — Ampliar permisos según evidencia de cumplimiento.,"Ejecuta la operación: Licencia progresiva — Ampliar permisos según evidencia de cumplimiento.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,DIVERGIR,,0.55,idea_generator,adversarial_challenger;evaluator,human_legal_ethics,governance_incentives,0.8,cybersecurity,,6,0,3,3,0,12,evidence_required,authorization_rule,0.75,none,none,"frozen_problem_model, rupture_set, taboo_mechanisms",idea_candidate,Cuando se necesitan alternativas estructuralmente distintas y una cartera diversa.,No declarar novedad mundial sin investigación externa.,normalized_challenge;source_traceability,defensive_design,S1_DEFENSIVE,medium,False,False,False,False,True,human_legal_ethics|evidence_required,unique,BF-CYB-M800-0503,,BF-Q2.0,15,13,1,16,0,10,55,medium,1-20,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,,DIVERGIR,trust_identity_access,cybersecurity,defensive_design,extended,2,70,original_csv,retained,Coincidencia canónica verificada.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-R1000-0314,9,f524fc5cc701f25d8fb3e3ba54bbf1c9bb7094563ef597e8dc98aa1d06226c51,a82be9f17090ccffc4ae4597b481a2e21415613eee9e9155b28a44d735f6a73c,approved_auto,,essential,True,10,BLACKFORGE,R1000,frame_break,314,R1000-0314,1000_tecnicas_ruptura_de_marco.txt,Descomposición,Descomposición por dependencia,revela cadenas ocultas.,Descomposición por dependencia — revela cadenas ocultas.,"Rompe el marco mediante: Descomposición por dependencia — revela cadenas ocultas.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,DESCOMPONER,,1.0,decomposer,frame_breaker;idea_generator,supply_chain_build,,1.0,developer_tools,,0,8,0,30,35,32,resource_dependency,,1.0,none,none,"problem_map, actors, assets, states, dependencies",primitive_map,"Cuando el problema es demasiado agregado y deben aislarse primitivas, estados o fronteras.",No fragmentar hasta perder relaciones causales o responsabilidades.,normalized_challenge;source_traceability,defensive_design,S1_DEFENSIVE,low_medium,False,False,False,False,False,supply_chain_build|resource_dependency,unique,BF-CYB-R1000-0314,,BF-Q2.0,15,9,2,18,0,10,54,high,1-20,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,,DESCOMPONER,agents_ai_devtools,developer_tools,defensive_design,extended,2,66,gap_audit_addition,added,Añadido al detectar un hueco de cobertura frente al catálogo completo.
2.0.0,2.0.0-debate20,BF-RULES-2.0.0,BF-CYB-L600-1439,10,6ef180f3d7997820acc996331d8bdfe44961850fb55213e3f5c13d8c2b30f5ea,23491161cfc1e5a6e077a12a02942f01b0c7917977d246b8532c44909add4c1f,manual_review_recommended,source_description_missing,essential,True,10,BLACKFORGE,L600,lens,1439,L600-1439,lentes_1101-1700.txt,Lentes 1401-1450,El punto de vista de quien tiene acceso legal a información que éticamente no debería utilizar.,,El punto de vista de quien tiene acceso legal a información que éticamente no debería utilizar.,"Examina el reto desde: El punto de vista de quien tiene acceso legal a información que éticamente no debería utilizar.. Devuelve el supuesto o variable afectada, el cambio causal propuesto, el riesgo principal y el artefacto verificable.",derived_template_v2,DELIMITAR,,1.0,scope_guard,mapper;frame_breaker,human_legal_ethics,,1.0,cybersecurity,,8,0,4,14,0,16,authorization_rule,,1.0,conceptual,none,"challenge, authorized_scope, assets, constraints, stakeholders",scope_contract,"Antes de idear, cuando alcance, activos, autorización o límites no están cerrados.",No usar para reemplazar una autorización legal o técnica inexistente.,normalized_challenge;source_traceability,defensive_design,S1_DEFENSIVE,medium,False,False,False,False,True,human_legal_ethics|authorization_rule,unique,BF-CYB-L600-1439,,BF-Q2.0,15,4,2,15,5,10,51,high,1-20,stage_reclassified;category_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,,CARTOGRAFIAR,trust_identity_access,cybersecurity,conceptual_only,extended,2,58,original_csv,retained,Coincidencia canónica verificada.
